case_num,case_id,proposed_avg_orig_judgement,proposed_avg_ground_truth,proposed_avg_locknkey
1,1953_L_1,33.3333,33.3333,33.3333
2,1953_S_23,33.3333,33.3333,33.3333
3,1954_M_25,33.3333,33.3333,33.3333
4,1963_S_59,33.3333,33.3333,33.3333
5,1971_S_1,33.3333,33.3334,33.3333
6,1973_S_68,33.3333,33.3333,33.3334
7,1976_T_9,33.3333,33.3333,33.3333
8,1977_P_19,33.3333,33.3333,33.3334
9,1978_M_13,33.3333,33.3333,33.3333
10,1980_W_3,33.3333,33.3333,33.3333
11,1987_C_108,33.3333,33.3333,33.3333
12,1987_M_123,33.3334,33.3333,33.3333
13,1987_S_26,33.3333,33.3333,33.3333
14,1989_A_55,33.3333,33.3334,33.3333
15,1994_M_69,33.3333,33.3333,33.3333
16,1994_S_246,33.3333,33.3333,33.3333
17,1995_S_317,33.3333,33.3333,33.3333
18,1996_B_72,33.3333,33.3333,33.3333
19,1996_T_169,33.3333,33.3333,33.3334
20,2000_C_151,33.3333,33.3333,33.3334
21,2000_V_80,33.3333,33.3333,33.3333
22,2001_A_234,33.3333,33.3333,33.3333
23,2001_S_1131,33.3333,33.3333,33.3333
24,2004_C_129,33.3333,33.3333,33.3333
25,2004_I_24,33.3334,33.3333,33.3333
26,2005_S_388,33.3333,33.3333,33.3333
27,2006_A_136,33.3333,33.3333,33.3333
28,2006_A_36,33.3333,33.3333,33.3333
29,2007_B_76,33.3333,33.3333,33.3334
30,2007_C_121,33.3333,33.3333,33.3333
31,2007_S_608,33.3333,33.3333,33.3333
32,2007_S_632,33.3333,33.3333,33.3333
33,2007_U_18,33.3333,33.3333,33.3333
34,2008_A_260,33.3333,33.3333,33.3333
35,2008_C_166,33.3333,33.3333,33.3333
36,2008_I_54,33.3333,33.3334,33.3333
37,2008_P_8,33.3333,33.3333,33.3333
38,2008_S_1411,33.3333,33.3333,33.3333
39,2008_S_549,33.3333,33.3333,33.3334
40,2009_B_16,33.3333,33.3333,33.3334
41,2009_S_146,33.3333,33.3333,33.3333
42,2010_J_55,33.3333,33.3333,33.3333
43,2010_S_431,33.3334,33.3333,33.3333
44,2011_I_16,33.3333,33.3334,33.3334
45,2011_S_308,33.3333,33.3333,33.3333
46,2012_S_270,33.3333,33.3333,33.3333
47,2014_J_33,33.3334,33.3334,33.3333
48,2014_R_41,33.3333,33.3334,33.3333
49,2015_J_10,33.3333,33.3333,33.3333
50,2015_S_368,33.3333,33.3334,33.3333
